,NAME,population,state,place,GEOID,USPS,ANSICODE,place_name,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0,"New York city, New York",8804190,36,51000,3651000,NY,2395220.0,New York,25,A,778178241.0,445408678.0,300.456,171.973,40.662712,-73.938677
1,"Los Angeles city, California",3898747,6,44000,644000,CA,2410877.0,Los Angeles,25,A,1215977362.0,83031312.0,469.492,32.059,34.019394,-118.410825
2,"Chicago city, Illinois",2746388,17,14000,1714000,IL,428803.0,Chicago,25,A,589818403.0,17621589.0,227.73,6.804,41.837045,-87.684939
3,"Houston city, Texas",2304580,48,35000,4835000,TX,2410796.0,Houston,25,A,1658719231.0,80896867.0,640.435,31.234,29.785743,-95.388806
4,"Phoenix city, Arizona",1608139,4,55000,455000,AZ,2411414.0,Phoenix,25,A,1342303901.0,2633970.0,518.266,1.017,33.572154,-112.090132
5,"Philadelphia city, Pennsylvania",1603797,42,60000,4260000,PA,1215531.0,Philadelphia,25,A,347981635.0,21606282.0,134.356,8.342,40.009376,-75.133346
6,"San Antonio city, Texas",1434625,48,65000,4865000,TX,2411774.0,San Antonio,25,A,1290964117.0,14988134.0,498.444,5.787,29.463408,-98.524287
7,"San Diego city, California",1386932,6,66000,666000,CA,2411782.0,San Diego,25,A,844031898.0,120532678.0,325.883,46.538,32.814977,-117.135562
8,"Dallas city, Texas",1304379,48,19000,4819000,TX,2410288.0,Dallas,25,A,879570173.0,113594304.0,339.604,43.859,32.793333,-96.766513
9,"San Jose city, California",1013240,6,68000,668000,CA,2411790.0,San Jose,25,A,461821936.0,8089813.0,178.31,3.123,37.296011,-121.814552
10,"Austin city, Texas",961855,48,5000,4805000,TX,2409761.0,Austin,25,A,828631437.0,17024586.0,319.936,6.573,30.301157,-97.752695
11,"Jacksonville city, Florida",949611,12,35000,1235000,FL,2404783.0,Jacksonville,25,A,1935492088.0,329347337.0,747.298,127.162,30.336864,-81.661603
12,"Fort Worth city, Texas",918915,48,27000,4827000,TX,2410531.0,Fort Worth,25,A,902772231.0,21466244.0,348.562,8.288,32.781518,-97.346746
13,"Columbus city, Ohio",905748,39,18000,3918000,OH,1086101.0,Columbus,25,A,570091822.0,15177233.0,220.114,5.86,39.985531,-82.985594
14,"Indianapolis city (balance), Indiana",887642,18,36003,1836003,IN,2395424.0,Indianapolis,00,F,936640759.0,16304624.0,361.639,6.295,39.776664,-86.145935
15,"Charlotte city, North Carolina",874579,37,12000,3712000,NC,2404032.0,Charlotte,25,A,800727152.0,5121615.0,309.162,1.977,35.209045,-80.83099
16,"San Francisco city, California",873965,6,67000,667000,CA,2411786.0,San Francisco,25,A,121507089.0,479146790.0,46.914,185.0,37.727239,-123.032229
17,"Seattle city, Washington",737015,53,63000,5363000,WA,2411856.0,Seattle,25,A,217234359.0,150731439.0,83.875,58.198,47.619339,-122.351565
18,"Denver city, Colorado",715522,8,20000,820000,CO,2410324.0,Denver,25,A,396461547.0,4275563.0,153.075,1.651,39.76185,-104.881105
19,"Washington city, District of Columbia",689545,11,50000,1150000,DC,2390665.0,Washington,25,N,158316124.0,18709762.0,61.126,7.224,38.904247,-77.016517
20,"Nashville-Davidson metropolitan government (balance), Tennessee",689447,47,52006,4752006,TN,2405092.0,Nashville-Davidson,00,F,1232275559.0,56162658.0,475.784,21.685,36.1718,-86.785002
21,"Oklahoma City city, Oklahoma",681054,40,55000,4055000,OK,2411311.0,Oklahoma City,25,A,1570701656.0,37062557.0,606.451,14.31,35.467079,-97.513657
22,"El Paso city, Texas",678815,48,24000,4824000,TX,2410414.0,El Paso,25,A,669288012.0,2118874.0,258.414,0.818,31.84778,-106.431106
23,"Boston city, Massachusetts",675647,25,7000,2507000,MA,619463.0,Boston,25,A,125200663.0,106898385.0,48.34,41.274,42.338551,-71.018253
24,"Portland city, Oregon",652503,41,59000,4159000,OR,2411471.0,Portland,25,A,345654594.0,29852342.0,133.458,11.526,45.536951,-122.649971
25,"Las Vegas city, Nevada",641903,32,40000,3240000,NV,2411630.0,Las Vegas,25,A,367361540.0,138524.0,141.839,0.053,36.233499,-115.264037
26,"Detroit city, Michigan",639111,26,22000,2622000,MI,1626181.0,Detroit,25,A,359311023.0,10781269.0,138.731,4.163,42.383037,-83.102237
27,"Memphis city, Tennessee",633104,47,48000,4748000,TN,2405068.0,Memphis,25,A,763900133.0,19766746.0,294.944,7.632,35.109026,-89.967455
28,"Baltimore city, Maryland",585708,24,4000,2404000,MD,1702381.0,Baltimore,25,A,209649327.0,28758743.0,80.946,11.104,39.300032,-76.610476
29,"Milwaukee city, Wisconsin",577222,55,53000,5553000,WI,1583724.0,Milwaukee,25,A,249116031.0,1634047.0,96.184,0.631,43.063348,-87.966695
30,"Albuquerque city, New Mexico",564559,35,2000,3502000,NM,2409678.0,Albuquerque,25,A,485027565.0,4358221.0,187.27,1.683,35.10478,-106.646809
31,"Tucson city, Arizona",542629,4,77000,477000,AZ,2412104.0,Tucson,25,A,624223642.0,819368.0,241.014,0.316,32.153036,-110.870773
32,"Fresno city, California",542107,6,27000,627000,CA,2410546.0,Fresno,25,A,299407784.0,3127480.0,115.602,1.208,36.782684,-119.793359
33,"Sacramento city, California",524943,6,64000,664000,CA,2411751.0,Sacramento,25,A,255399993.0,5413141.0,98.61,2.09,38.567694,-121.468161
34,"Kansas City city, Missouri",508090,29,38000,2938000,MO,2395492.0,Kansas City,25,A,815061344.0,10601365.0,314.697,4.093,39.122361,-94.555117
35,"Mesa city, Arizona",504258,4,46000,446000,AZ,2411087.0,Mesa,25,A,359476025.0,1617434.0,138.794,0.624,33.400626,-111.716487
36,"Atlanta city, Georgia",498715,13,4000,1304000,GA,2403126.0,Atlanta,25,A,350476504.0,2565326.0,135.32,0.99,33.762909,-84.422675
37,"Omaha city, Nebraska",486051,31,37000,3137000,NE,2396064.0,Omaha,25,A,369099188.0,9374762.0,142.51,3.62,41.262705,-96.053475
38,"Colorado Springs city, Colorado",478961,8,16000,816000,CO,2410198.0,Colorado Springs,25,A,507215596.0,937374.0,195.837,0.362,38.867255,-104.760749
39,"Raleigh city, North Carolina",467665,37,55000,3755000,NC,2404590.0,Raleigh,25,A,381010726.0,2770251.0,147.109,1.07,35.830204,-78.641493
40,"Long Beach city, California",466742,6,43000,643000,CA,2410866.0,Long Beach,25,A,131351630.0,70260174.0,50.715,27.128,33.780791,-118.16818
41,"Virginia Beach city, Virginia",459470,51,82000,5182000,VA,1498559.0,Virginia Beach,25,A,633828628.0,654687365.0,244.723,252.776,36.779525,-76.029142
42,"Miami city, Florida",442241,12,45000,1245000,FL,2404247.0,Miami,25,A,93228401.0,52000009.0,35.996,20.077,25.775163,-80.208615
43,"Oakland city, California",440646,6,53000,653000,CA,2411292.0,Oakland,25,A,144861285.0,57244212.0,55.931,22.102,37.769846,-122.22569
44,"Minneapolis city, Minnesota",429954,27,43000,2743000,MN,2395345.0,Minneapolis,25,A,139858485.0,9083548.0,54.0,3.507,44.963324,-93.26832
45,"Tulsa city, Oklahoma",413066,40,75000,4075000,OK,2412110.0,Tulsa,25,A,512169241.0,10592645.0,197.75,4.09,36.127949,-95.902316
46,"Bakersfield city, California",403455,6,3526,603526,CA,2409774.0,Bakersfield,25,A,388008665.0,3792006.0,149.811,1.464,35.353593,-119.036921
47,"Wichita city, Kansas",397532,20,79000,2079000,KS,485662.0,Wichita,25,A,419555510.0,11737871.0,161.991,4.532,37.690638,-97.345836
48,"Arlington city, Texas",394266,48,4000,4804000,TX,2409731.0,Arlington,25,A,248226618.0,9329197.0,95.841,3.602,32.700708,-97.124691
49,"Louisville/Jefferson County metro government (balance), Kentucky",386884,21,48006,2148006,KY,1967434.0,Louisville/Jefferson County,00,F,681753404.0,30254059.0,263.226,11.681,38.165376,-85.647377
50,"Aurora city, Colorado",386261,8,4000,804000,CO,2409757.0,Aurora,25,A,414301861.0,1498809.0,159.963,0.579,39.688002,-104.68974
51,"Tampa city, Florida",384959,12,71000,1271000,FL,2405568.0,Tampa,25,A,295299062.0,160101767.0,114.016,61.816,27.967876,-82.474586
52,"New Orleans city, Louisiana",383997,22,55000,2255000,LA,545142.0,New Orleans,25,A,439001414.0,467095943.0,169.499,180.347,30.05342,-89.934502
53,"Cleveland city, Ohio",372624,39,16000,3916000,OH,1085963.0,Cleveland,25,A,201334000.0,12290112.0,77.735,4.745,41.478462,-81.679435
54,"Urban Honolulu CDP, Hawaii",350964,15,71550,1571550,HI,2630783.0,Urban Honolulu,57,S,156806994.0,20487477.0,60.544,7.91,21.324347,-157.84764
55,"Anaheim city, California",346824,6,2000,602000,CA,2409704.0,Anaheim,25,A,130206498.0,1567025.0,50.273,0.605,33.855502,-117.758657
56,"San Juan zona urbana, Puerto Rico",322854,72,76770,7276770,PR,2414943.0,San Juan,62,S,103118684.0,17712407.0,39.814,6.839,18.404559,-66.063746
57,"Lexington-Fayette urban county, Kentucky",322570,21,46027,2146027,KY,2405089.0,Lexington-Fayette,UC,A,734617508.0,4920615.0,283.637,1.9,38.040678,-84.458272
58,"Stockton city, California",320804,6,75000,675000,CA,2411987.0,Stockton,25,A,161592699.0,7956195.0,62.391,3.072,37.976342,-121.313304
59,"Corpus Christi city, Texas",317863,48,17000,4817000,TX,2410234.0,Corpus Christi,25,A,420016429.0,849773923.0,162.169,328.1,27.754252,-97.173385
60,"Henderson city, Nevada",317610,32,31900,3231900,NV,2410741.0,Henderson,25,A,275597663.0,1272345.0,106.409,0.491,36.010155,-115.035751
61,"Riverside city, California",314998,6,62000,662000,CA,2410965.0,Riverside,25,A,210387809.0,803475.0,81.231,0.31,33.938143,-117.393168
62,"Newark city, New Jersey",311549,34,51000,3451000,NJ,885317.0,Newark,25,A,62531386.0,4509784.0,24.144,1.741,40.72422,-74.172574
63,"St. Paul city, Minnesota",311527,27,58000,2758000,MN,2396511.0,St. Paul,25,A,134608370.0,10701363.0,51.973,4.132,44.948901,-93.104063
64,"Santa Ana city, California",310227,6,69000,669000,CA,2411814.0,Santa Ana,25,A,70905149.0,79932.0,27.377,0.031,33.736332,-117.8829
65,"Cincinnati city, Ohio",309317,39,15000,3915000,OH,1086201.0,Cincinnati,25,A,201768527.0,4486905.0,77.903,1.732,39.140183,-84.505829
66,"Irvine city, California",307670,6,36770,636770,CA,2410116.0,Irvine,25,A,169930356.0,802010.0,65.61,0.31,33.678399,-117.771254
67,"Orlando city, Florida",307573,12,53000,1253000,FL,2404443.0,Orlando,25,A,287102775.0,21309279.0,110.851,8.228,28.40865,-81.254805
68,"Pittsburgh city, Pennsylvania",302971,42,61000,4261000,PA,1214818.0,Pittsburgh,25,A,143421647.0,7699005.0,55.375,2.973,40.439775,-79.976333
69,"St. Louis city, Missouri",301578,29,65000,2965000,MO,767557.0,St. Louis,25,A,159896485.0,11563208.0,61.736,4.465,38.635699,-90.244582
70,"Greensboro city, North Carolina",299035,37,28000,3728000,NC,2403745.0,Greensboro,25,A,337369023.0,13565430.0,130.259,5.238,36.095148,-79.826996
71,"Jersey City city, New Jersey",292449,34,36000,3436000,NJ,885264.0,Jersey City,25,A,38185617.0,16277947.0,14.744,6.285,40.711417,-74.06476
72,"Anchorage municipality, Alaska",291247,2,3000,203000,AK,2419025.0,Anchorage,37,A,4420814009.0,621079537.0,1706.886,239.8,61.17425,-149.284329
73,"Lincoln city, Nebraska",291082,31,28000,3128000,NE,2395713.0,Lincoln,25,A,253012683.0,3524104.0,97.689,1.361,40.808955,-96.678944
74,"Plano city, Texas",285494,48,58016,4858016,TX,2411437.0,Plano,25,A,185667954.0,925056.0,71.687,0.357,33.050769,-96.747944
75,"Durham city, North Carolina",283506,37,19000,3719000,NC,2403521.0,Durham,25,A,294058505.0,2135861.0,113.537,0.825,35.98005,-78.900976
76,"Buffalo city, New York",278349,36,11000,3611000,NY,978764.0,Buffalo,25,A,104577537.0,31344742.0,40.378,12.102,42.892492,-78.859686
77,"Chandler city, Arizona",275987,4,12000,412000,AZ,2409433.0,Chandler,25,A,169582820.0,182489.0,65.476,0.07,33.282765,-111.851819
78,"Chula Vista city, California",275487,6,13392,613392,CA,2409461.0,Chula Vista,25,A,128560729.0,6360807.0,49.638,2.456,32.62767,-117.01517
79,"Toledo city, Ohio",270871,39,77000,3977000,OH,1086537.0,Toledo,25,A,208462505.0,8657577.0,80.488,3.343,41.664071,-83.581861
80,"Madison city, Wisconsin",269840,55,48000,5548000,WI,1583625.0,Madison,25,A,206093071.0,55411136.0,79.573,21.394,43.087815,-89.429856
81,"Gilbert town, Arizona",267918,4,27400,427400,AZ,2412682.0,Gilbert,43,A,177640659.0,525310.0,68.587,0.203,33.310225,-111.743224
82,"Reno city, Nevada",264165,32,60600,3260600,NV,2410923.0,Reno,25,A,281958623.0,7338575.0,108.865,2.833,39.549097,-119.849907
83,"Fort Wayne city, Indiana",263886,18,25000,1825000,IN,2394798.0,Fort Wayne,25,A,286894391.0,562614.0,110.771,0.217,41.089132,-85.1439
84,"North Las Vegas city, Nevada",262527,32,51800,3251800,NV,2411273.0,North Las Vegas,25,A,264986543.0,112001.0,102.312,0.043,36.281961,-115.087506
85,"St. Petersburg city, Florida",258308,12,63000,1263000,FL,2405401.0,St. Petersburg,25,A,160239615.0,190689072.0,61.869,73.625,27.762727,-82.644131
86,"Lubbock city, Texas",257141,48,45000,4845000,TX,2410892.0,Lubbock,25,A,348915739.0,3221018.0,134.717,1.244,33.565541,-101.888946
87,"Irving city, Texas",256684,48,37000,4837000,TX,2410117.0,Irving,25,A,173474996.0,2569521.0,66.979,0.992,32.857748,-96.970022
88,"Laredo city, Texas",255205,48,41464,4841464,TX,2411626.0,Laredo,25,A,276672979.0,3804555.0,106.824,1.469,27.560379,-99.489181
89,"Winston-Salem city, North Carolina",249545,37,75000,3775000,NC,2405771.0,Winston-Salem,25,A,344753016.0,3126102.0,133.11,1.207,36.102863,-80.260829
90,"Chesapeake city, Virginia",249422,51,16000,5116000,VA,1498558.0,Chesapeake,25,A,876598054.0,32349712.0,338.456,12.49,36.679376,-76.301788
91,"Glendale city, Arizona",248325,4,27820,427820,AZ,2410596.0,Glendale,25,A,167526708.0,1061071.0,64.682,0.41,33.533111,-112.189901
92,"Louisville city, Kentucky",246161,21,48000,2148000,KY,2404963.0,Louisville,25,N,159239204.0,12488303.0,61.483,4.822,38.224728,-85.740614
93,"Garland city, Texas",246018,48,29000,4829000,TX,2410572.0,Garland,25,A,147928102.0,313575.0,57.115,0.121,32.909826,-96.630334
94,"Scottsdale city, Arizona",241361,4,65000,465000,AZ,2411845.0,Scottsdale,25,A,476566037.0,1136911.0,184.003,0.439,33.684272,-111.861448
95,"Arlington CDP, Virginia",238643,51,3000,5103000,VA,2389148.0,Arlington,57,S,67332990.0,273562.0,25.997,0.106,38.878337,-77.100703
96,"Norfolk city, Virginia",238005,51,57000,5157000,VA,1498557.0,Norfolk,25,A,137981431.0,111701531.0,53.275,43.128,36.923015,-76.244641
97,"Boise City city, Idaho",235684,16,8830,1608830,ID,2409876.0,Boise City,25,A,217714715.0,2560977.0,84.06,0.989,43.600233,-116.2298
98,"Fremont city, California",230504,6,26000,626000,CA,2410545.0,Fremont,25,A,202274678.0,26274304.0,78.099,10.145,37.49446,-121.94115
99,"Spokane city, Washington",228989,53,67000,5367000,WA,2411956.0,Spokane,25,A,178086951.0,1907185.0,68.76,0.736,47.666935,-117.433322
100,"Santa Clarita city, California",228673,6,69088,669088,CA,2411819.0,Santa Clarita,25,A,183250290.0,160454.0,70.753,0.062,34.414083,-118.494729
101,"Baton Rouge city, Louisiana",227470,22,5000,2205000,LA,2403821.0,Baton Rouge,25,B,223557844.0,5708637.0,86.316,2.204,30.442174,-91.130894
102,"Richmond city, Virginia",226610,51,67000,5167000,VA,1789073.0,Richmond,25,A,155205067.0,6849165.0,59.925,2.644,37.531399,-77.476009
103,"Hialeah city, Florida",223109,12,30000,1230000,FL,2404689.0,Hialeah,25,A,55895716.0,3198603.0,21.581,1.235,25.869941,-80.302865
104,"San Bernardino city, California",222101,6,65000,665000,CA,2411777.0,San Bernardino,25,A,160943574.0,853495.0,62.141,0.33,34.14114,-117.294635
105,"Enterprise CDP, Nevada",221831,32,23770,3223770,NV,2408084.0,Enterprise,57,S,170937269.0,0.0,65.999,0.0,36.009143,-115.227824
106,"Tacoma city, Washington",219346,53,70000,5370000,WA,2412025.0,Tacoma,25,A,128759844.0,32921338.0,49.714,12.711,47.252199,-122.459832
107,"Modesto city, California",218464,6,48354,648354,CA,2411130.0,Modesto,25,A,111485793.0,4740717.0,43.045,1.83,37.637533,-121.003049
108,"Spring Valley CDP, Nevada",215597,32,68585,3268585,NV,2408797.0,Spring Valley,57,S,91958229.0,0.0,35.505,0.0,36.095178,-115.263609
109,"Huntsville city, Alabama",215006,1,37000,137000,AL,2404746.0,Huntsville,25,A,568075510.0,3874916.0,219.335,1.496,34.782275,-86.532599
110,"Des Moines city, Iowa",214133,19,21000,1921000,IA,2394522.0,Des Moines,25,A,228382972.0,6537316.0,88.179,2.524,41.57259,-93.610243
111,"Yonkers city, New York",211569,36,84000,3684000,NY,979660.0,Yonkers,25,A,46634440.0,5850607.0,18.006,2.259,40.945862,-73.867446
112,"Rochester city, New York",211328,36,63000,3663000,NY,979426.0,Rochester,25,A,92634700.0,3640302.0,35.766,1.406,43.169927,-77.616891
113,"Moreno Valley city, California",208634,6,49270,649270,CA,2411159.0,Moreno Valley,25,A,132938278.0,546511.0,51.328,0.211,33.923253,-117.205685
114,"Fayetteville city, North Carolina",208501,37,22920,3722920,NC,2403604.0,Fayetteville,25,A,384005426.0,4734376.0,148.265,1.828,35.082766,-78.973515
115,"Fontana city, California",208393,6,24680,624680,CA,2410517.0,Fontana,25,A,111552124.0,0.0,43.071,0.0,34.108956,-117.462888
116,"Columbus city, Georgia",206922,13,19000,1319000,GA,2404111.0,Columbus,25,A,560731675.0,11683933.0,216.5,4.511,32.510197,-84.874946
117,"Worcester city, Massachusetts",206518,25,82000,2582000,MA,619493.0,Worcester,25,A,96762671.0,2808413.0,37.36,1.084,42.269478,-71.807783
118,"Sunrise Manor CDP, Nevada",205618,32,71400,3271400,NV,2410035.0,Sunrise Manor,57,S,87316092.0,0.0,33.713,0.0,36.178338,-115.048722
119,"Port St. Lucie city, Florida",204851,12,58715,1258715,FL,2404558.0,Port St. Lucie,25,A,308768074.0,4169079.0,119.216,1.61,27.280554,-80.388261
120,"Little Rock city, Arkansas",202591,5,41000,541000,AR,2404939.0,Little Rock,25,A,310921371.0,7661294.0,120.047,2.958,34.72398,-92.357609
121,"Augusta-Richmond County consolidated government (balance), Georgia",202081,13,4204,1304204,GA,2405078.0,Augusta-Richmond County,00,F,782907232.0,10801420.0,302.282,4.17,33.365531,-82.073422
122,"Oxnard city, California",202063,6,54652,654652,CA,2411347.0,Oxnard,25,A,68707177.0,32677585.0,26.528,12.617,34.199436,-119.207515
123,"Birmingham city, Alabama",200733,1,7000,107000,AL,2403868.0,Birmingham,25,A,380772761.0,6533599.0,147.017,2.523,33.527174,-86.797036
124,"Montgomery city, Alabama",200603,1,51000,151000,AL,2404289.0,Montgomery,25,A,414027223.0,6249598.0,159.857,2.413,32.348503,-86.267307
125,"Frisco city, Texas",200509,48,27684,4827684,TX,2410549.0,Frisco,25,A,177773397.0,1437988.0,68.639,0.555,33.155427,-96.822596
126,"Amarillo city, Texas",200393,48,3000,4803000,TX,2409694.0,Amarillo,25,A,266326970.0,4037419.0,102.829,1.559,35.197896,-101.831844
127,"Salt Lake City city, Utah",199723,49,67000,4967000,UT,2411771.0,Salt Lake City,25,A,285773665.0,1216725.0,110.338,0.47,40.776928,-111.930991
128,"Grand Rapids city, Michigan",198917,26,34000,2634000,MI,1626373.0,Grand Rapids,25,A,115968798.0,2217914.0,44.776,0.856,42.961156,-85.65557
129,"Huntington Beach city, California",198711,6,36000,636000,CA,2410811.0,Huntington Beach,25,A,69922374.0,3455837.0,26.997,1.334,33.698007,-118.003834
130,"Overland Park city, Kansas",197238,20,53775,2053775,KS,485639.0,Overland Park,25,A,194723407.0,1187552.0,75.183,0.459,38.889042,-94.690584
131,"Glendale city, California",196543,6,30000,630000,CA,2410597.0,Glendale,25,A,78940374.0,330542.0,30.479,0.128,34.181393,-118.24583
132,"Tallahassee city, Florida",196169,12,70600,1270600,FL,2405563.0,Tallahassee,25,A,263797394.0,7473956.0,101.853,2.886,30.455131,-84.253418
133,"Grand Prairie city, Texas",196100,48,30464,4830464,TX,2410632.0,Grand Prairie,25,A,187802276.0,23048387.0,72.511,8.899,32.686108,-97.020804
134,"McKinney city, Texas",195308,48,45744,4845744,TX,2411064.0,McKinney,25,A,173433210.0,1912665.0,66.963,0.738,33.201125,-96.664161
135,"Cape Coral city, Florida",194016,12,10275,1210275,FL,2403990.0,Cape Coral,25,A,274613634.0,34645780.0,106.029,13.377,26.645022,-81.993319
136,"Sioux Falls city, South Dakota",192517,46,59020,4659020,SD,1267566.0,Sioux Falls,25,A,205617357.0,1407426.0,79.389,0.543,43.538196,-96.730536
137,"Paradise CDP, Nevada",191238,32,54600,3254600,NV,2409023.0,Paradise,57,S,109826212.0,0.0,42.404,0.0,36.087148,-115.135519
138,"Peoria city, Arizona",190985,4,54050,454050,AZ,2411401.0,Peoria,25,A,456049509.0,8199012.0,176.082,3.166,33.786186,-112.308042
139,"Providence city, Rhode Island",190934,44,59000,4459000,RI,1220076.0,Providence,25,A,47670949.0,5643960.0,18.406,2.179,41.823056,-71.418784
140,"Vancouver city, Washington",190915,53,74060,5374060,WA,2412146.0,Vancouver,25,A,126252845.0,9593982.0,48.746,3.704,45.637156,-122.596567
141,"Knoxville city, Tennessee",190740,47,40000,4740000,TN,2404842.0,Knoxville,25,A,255688158.0,14322125.0,98.722,5.53,35.97068,-83.94927
142,"Akron city, Ohio",190469,39,1000,3901000,OH,1086993.0,Akron,25,A,160405166.0,884027.0,61.933,0.341,41.080456,-81.521429
143,"Shreveport city, Louisiana",187593,22,70000,2270000,LA,2405463.0,Shreveport,25,A,280091229.0,40647137.0,108.144,15.694,32.466879,-93.792193
144,"Mobile city, Alabama",187041,1,50000,150000,AL,2404278.0,Mobile,25,A,361255557.0,105135405.0,139.482,40.593,30.668426,-88.100226
145,"Brownsville city, Texas",186738,48,10768,4810768,TX,2409924.0,Brownsville,25,A,340982705.0,35530662.0,131.654,13.718,25.995689,-97.450848
146,"Newport News city, Virginia",186247,51,56000,5156000,VA,1498555.0,Newport News,25,A,178679454.0,131135058.0,68.989,50.632,37.076136,-76.52198
147,"Fort Lauderdale city, Florida",182760,12,24000,1224000,FL,2403640.0,Fort Lauderdale,25,A,89578884.0,4435586.0,34.587,1.713,26.141227,-80.146731
148,"Chattanooga city, Tennessee",181099,47,14000,4714000,TN,2404035.0,Chattanooga,25,A,368690545.0,20014174.0,142.352,7.728,35.065958,-85.248386
149,"Tempe city, Arizona",180587,4,73000,473000,AZ,2412045.0,Tempe,25,A,103445424.0,543723.0,39.941,0.21,33.388414,-111.931782
150,"Aurora city, Illinois",180542,17,3012,1703012,IL,2394031.0,Aurora,25,A,116469137.0,2445343.0,44.969,0.944,41.763455,-88.290099
151,"Santa Rosa city, California",178127,6,70098,670098,CA,2411827.0,Santa Rosa,25,A,110145874.0,451570.0,42.528,0.174,38.445824,-122.706181
152,"Eugene city, Oregon",176654,41,23850,4123850,OR,2410460.0,Eugene,25,A,114452710.0,179488.0,44.19,0.069,44.055128,-123.117431
153,"Elk Grove city, California",176124,6,22020,622020,CA,2410425.0,Elk Grove,25,A,108760535.0,533192.0,41.993,0.206,38.414621,-121.384961
154,"Salem city, Oregon",175535,41,64900,4164900,OR,2411764.0,Salem,25,A,126445615.0,1418528.0,48.821,0.548,44.9239,-123.023007
155,"Ontario city, California",175265,6,53896,653896,CA,2411323.0,Ontario,25,A,129425158.0,75071.0,49.971,0.029,34.037648,-117.604433
156,"Cary town, North Carolina",174721,37,10740,3710740,NC,2406229.0,Cary,43,A,153663670.0,2804193.0,59.33,1.083,35.781302,-78.823444
157,"Rancho Cucamonga city, California",174453,6,59451,659451,CA,2411514.0,Rancho Cucamonga,25,A,120441397.0,24723.0,46.503,0.01,34.130306,-117.566067
158,"Oceanside city, California",174068,6,53322,653322,CA,2411301.0,Oceanside,25,A,106889690.0,2296235.0,41.27,0.887,33.224601,-117.306291
159,"Lancaster city, California",173516,6,40130,640130,CA,2411620.0,Lancaster,25,A,244160144.0,651713.0,94.271,0.252,34.693558,-118.175305
160,"Garden Grove city, California",171949,6,29000,629000,CA,2410568.0,Garden Grove,25,A,46520862.0,31066.0,17.962,0.012,33.778782,-117.960472
161,"Pembroke Pines city, Florida",171178,12,55775,1255775,FL,2404502.0,Pembroke Pines,25,A,84643990.0,5390263.0,32.681,2.081,26.014716,-80.340171
162,"Fort Collins city, Colorado",169810,8,27425,827425,CO,2410526.0,Fort Collins,25,A,148208450.0,3264785.0,57.224,1.261,40.548216,-105.064833
163,"Palmdale city, California",169450,6,55156,655156,CA,2411359.0,Palmdale,25,A,274705334.0,629569.0,106.064,0.243,34.591038,-118.105403
164,"Springfield city, Missouri",169176,29,70000,2970000,MO,2395942.0,Springfield,25,A,213751942.0,1519481.0,82.53,0.587,37.194152,-93.291305
165,"Clarksville city, Tennessee",166722,47,15160,4715160,TN,2404061.0,Clarksville,25,A,257727841.0,1812434.0,99.509,0.7,36.56643,-87.345216
166,"Bayamón zona urbana, Puerto Rico",165368,72,6593,7206593,PR,2415307.0,Bayamón,62,S,70153366.0,164162.0,27.086,0.063,18.380055,-66.163253
167,"Salinas city, California",163542,6,64224,664224,CA,2411768.0,Salinas,25,A,60903234.0,83122.0,23.515,0.032,36.690217,-121.633793
168,"Hayward city, California",162954,6,33000,633000,CA,2410724.0,Hay,25,A,118669080.0,47415914.0,45.818,18.307,37.626826,-122.104015
169,"Paterson city, New Jersey",159732,34,57000,3457000,NJ,885343.0,Paterson,25,A,21790111.0,762703.0,8.413,0.294,40.914766,-74.162829
170,"Alexandria city, Virginia",159467,51,1000,5101000,VA,1498415.0,Alexandria,25,A,38682337.0,1069028.0,14.935,0.413,38.819251,-77.08367
171,"Macon-Bibb County, Georgia",157346,13,49008,1349008,GA,2761437.0,Macon-Bibb County,00,A,645898113.0,14305197.0,249.383,5.523,32.808845,-83.694194
172,"Corona city, California",157136,6,16350,616350,CA,2410232.0,Corona,25,A,103445845.0,53210.0,39.941,0.021,33.861969,-117.565495
173,"Kansas City city, Kansas",156607,20,36000,2036000,KS,485601.0,Kansas City,25,A,323068566.0,9237731.0,124.737,3.567,39.122539,-94.741781
174,"Lakewood city, Colorado",155984,8,43000,843000,CO,2411614.0,Lakewood,25,A,112595317.0,3040316.0,43.473,1.174,39.698939,-105.117573
175,"Springfield city, Massachusetts",155929,25,67000,2567000,MA,619388.0,Springfield,25,A,82542449.0,3135346.0,31.87,1.211,42.115454,-72.539978
176,"Sunnyvale city, California",155805,6,77000,677000,CA,2412009.0,Sunnyvale,25,A,57135716.0,1858933.0,22.06,0.718,37.385797,-122.026316
177,"Jackson city, Mississippi",153701,28,36000,2836000,MS,2404779.0,Jackson,25,A,289342143.0,5532980.0,111.716,2.136,32.315834,-90.21285
178,"Killeen city, Texas",153095,48,39148,4839148,TX,2411542.0,Killeen,25,A,142027950.0,1697724.0,54.837,0.655,31.075273,-97.731617
179,"Hollywood city, Florida",153067,12,32000,1232000,FL,2404719.0,Hollywood,25,A,70579359.0,9130066.0,27.251,3.525,26.030967,-80.164609
180,"Murfreesboro city, Tennessee",152769,47,51560,4751560,TN,2404342.0,Murfreesboro,25,A,164200369.0,353385.0,63.398,0.136,35.853915,-86.421224
181,"Pasadena city, Texas",151950,48,56000,4856000,TX,2411380.0,Pasadena,25,A,113125835.0,2748512.0,43.678,1.061,29.654996,-95.151055
